dlga_start:dialognotused|error
dlga_tavern_traveler_tell_kingdoms_4a:tavern_traveler_tell_kingdoms_4|It is not unheard-of for adventurers to renounce allegiance to a Calradian king altogether, declare themselves kings, and claim land in their own name. This is a difficult path, however, as the great nobles of the land, with their long ancestries, are not likely to accept such upstarts as their monarch. Such rulers would need to be very careful in establishing their right to rule, or they would be set upon from all sides.
dlga_tavern_traveler_tell_kingdoms_4:tavern_traveler_tell_kingdoms_5|It might be easier for an adventurer like yourself to pledge support to an existing king's rival.  There are many such pretenders in Calradia -- those who are born to the right family, who go around and stir up trouble saying they have a better claim to the throne than the current king. If those claim holders could find supporters, they could easily start civil wars and perhaps even replace the king one day.
dlga_tavern_traveler_tell_kingdoms_5:tavern_traveler_tell_kingdoms_6|Interesting. Where can I find these claim holders?
dlga_tavern_traveler_tell_kingdoms_5:close_window|I guess I heard enough already. Thank you.
dlga_tavern_traveler_tell_kingdoms_6:tavern_traveler_pretalk|A claim holder's life would be in danger in his own country of course. Therefore, they usually stay at rival courts, raising support and hoping to find someone willing to champion their cause. I usually hear news about some of them, and may be able to tell you their location with some precision. But of course, I would ask for a little something for such a service.
dlga_tavern_traveler_talk:tavern_traveler_pretender_location|I want to know the location of a claimant.
dlga_tavern_traveler_pretender_location:tavern_traveler_pretender_location_ask|Whose location do you want to know?
dlga_tavern_traveler_pretender_location_ask:tavern_traveler_pretender_location_ask_2|{s11}
dlga_tavern_traveler_pretender_location_ask:tavern_traveler_pretalk|Never mind.
dlga_tavern_traveler_pretender_location_ask_2:tavern_traveler_pretender_location_ask_money|I can reveal this information to you for a small price, let's say 30 denars.
dlga_tavern_traveler_pretender_location_ask_money:tavern_traveler_pretender_location_tell|All right. Here is 30 denars.
dlga_tavern_traveler_pretender_location_ask_money:tavern_traveler_pretalk|Never mind.
dlga_tavern_traveler_pretender_location_tell:tavern_traveler_pretalk|{s15} is currently at {s11}.
dlga_tavern_traveler_talk:tavern_traveler_companion_location|I am looking for one of my companions...
dlga_tavern_traveler_companion_location:tavern_traveler_companion_location_ask|Maybe I can help you. Who are you looking for?
dlga_tavern_traveler_companion_location_ask:tavern_traveler_companion_location_ask_2|{s11}
dlga_tavern_traveler_companion_location_ask:tavern_traveler_pretalk|Never mind.
dlga_tavern_traveler_companion_location_ask_2:tavern_traveler_companion_location_ask_money|I guess I know where {s15} is. For 30 denars, I'll tell you.
dlga_tavern_traveler_companion_location_ask_money:tavern_traveler_companion_location_tell|All right. Here is 30 denars.
dlga_tavern_traveler_companion_location_ask_money:tavern_traveler_pretalk|Never mind.
dlga_tavern_traveler_companion_location_tell:tavern_traveler_pretalk|{s15} is currently at {s11}.{s12}
dlga_tavern_traveler_talk:close_window|Farewell.
dlga_start:tavern_traveler_answer|Greetings. They say you're the kind of {man/woman} who'd be interested to hear that I travel frequently to {s17}. I'll tell you all I know for a mere 100 denars.
dlga_tavern_traveler_answer:tavern_traveler_continue|Here's 100 denars. Tell me what you know.
dlga_tavern_traveler_answer:close_window|Sorry friend. I am not interested.
dlga_tavern_traveler_continue:close_window|Well, that's all I can tell you. Good bye.
dlga_start:bookseller_talk|Good day {sir/madam}, will you be looking at my books?
dlga_bookseller_talk:bookseller_buy|Yes. Show me what you have for sale.
dlga_bookseller_buy:book_trade_completed|Of course {sir/madam}.
dlga_book_trade_completed:bookseller_talk|Anything else?
dlga_bookseller_talk:close_window|Nothing. Thanks.
dlga_start:minstrel_1|Greetings to you, {most noble sir/most noble lady}.
dlga_minstrel_1:minstrel_job_description|What is it you do?
dlga_minstrel_1:minstrel_courtship_questions|I have some questions about courtship in Calradia
dlga_minstrel_1:minstrel_courtship_poem|Can you teach me any poems?
dlga_minstrel_courtship_poem:minstrel_courtship_poem_teach|I can teach you the poem, 'The Storming of the Castle of Love.' It is short enough to be easily learned. It is an allegoric poem, replete with symbols and metaphor. It describes how a brave but rough warrior wins the heart of his lady by learning the virtues of chivalry, becoming a true and noble knight. Its theme -- that the role of a woman is to inspire but also civilize a man -- is appreciated by some noble ladies, but not all.
dlga_minstrel_courtship_poem:minstrel_courtship_poem_teach.1|I can teach you the poem, 'The Heart's Desire.' It is a lyrical poem, which can be interpreted either erotically or spiritually. The lover realizes the majesty of the divine by gazing upon the body of his beloved. I believe that it appeals to women of a certain romantic temperament, but you risk scandalizing or boring others.
dlga_minstrel_courtship_poem:minstrel_courtship_poem_teach.2|I can teach you the tale of Kais and Layala. It is a sad and simple story -- the shepherd boy Kais and the nobleman's daughter Layala love each other, but they can never marry. The poem is Kais' lament as he wanders alone, unwilling to forget his true love, driving himself mad with longing. Some ladies melt at the sweetness of his sorrows; others glaze over at his self-pity.
dlga_minstrel_courtship_poem:minstrel_courtship_poem_teach.3|I can teach you part of the saga of Helgerad and Kara. It is a heroic tale, full of blood and battle. The shieldmaiden Kara chooses the warrior Helgered as her lover, as he is the only man who can defeat her in combat. Her father, who pledged her to another, comes with his sons and his huscarls to kill Helgered. They fight, and Helgered and Kara slaughter the entire host except for Kara's beloved younger brother -- who, alas, grows up to avenge his father by slaying Helgered. The depiction of warrior and shieldmaiden as equals will appeal to some women, but a mail-wearing, blood-spattered heroine will shock and repulse others.
dlga_minstrel_courtship_poem:minstrel_courtship_poem_teach.4|I can teach you the poem, 'An Argument in the Garden.' It is a comic poem, which satirizes the conventions of courtly love. A lover steals into a garden in Veluca, and plies her with lots of witty lines to persuade his lover to submit to his embraces. She shoots down all of his advances one by one, then when he is downcast, she takes him in her arms and tells him that she wanted him all along, except on her terms, not his. A lady with a sense of humor may find it amusing, but others might feel that they are the ones who are being mocked.
dlga_minstrel_courtship_poem_teach:minstrel_courtship_poem_teach_2|To teach it to you, I will need some hours of your time -- and, of course, a small fee for my services. About 300 denars would suffice.
dlga_minstrel_courtship_poem:minstrel_pretalk|I believe you already know the poems I am best equipped to teach.
dlga_minstrel_courtship_poem_teach_2:minstrel_courtship_poem_teach_3|Yes -- teach me that one
dlga_minstrel_courtship_poem_teach_2:minstrel_pretalk|Never mind
dlga_minstrel_courtship_poem_teach_3:minstrel_courtship_poem_teach_4|Very well -- repeat after me:^   I deflected her skeptical questioning darts^   with armor made of purest devotion^   purged in the forge of my heart^   from the slag of any baser emotion
dlga_minstrel_courtship_poem_teach_3:minstrel_courtship_poem_teach_4.1|Very well -- repeat after me:^   You are the first and the last^   the outer and the inner^   When I drink from the cup of love^   I escape the tread of time^   A moment in solitude with you^   Would have no beginning and no end
dlga_minstrel_courtship_poem_teach_3:minstrel_courtship_poem_teach_4.2|Very well -- repeat after me:^  The wind that blows the dry steppe dust^  Stirs the curtains in your tower^  The moon that lights my drunken path home^  Looks on you sleeping in your bower^  If I cried out to the wind^  Could it carry a message from my lips?^  If I wept before the moon^  Would it grant me just a glimpse?
dlga_minstrel_courtship_poem_teach_3:minstrel_courtship_poem_teach_4.3|Very well -- repeat after me:^   A light pierced the gloom over Wercheg cliffs...^   Where charge of surf broke on shieldwall of shore^   Grey-helmed and grey-cloaked the maiden stood^   On wave-steed's prow, the sailcloth snapping^   Over din of oars, of timbers cracking^   She cried out to her hearth-brothers, arrayed for war
dlga_minstrel_courtship_poem_teach_3:minstrel_courtship_poem_teach_4.4|Very well -- repeat after me:^All the silks of Veluca, all the furs of Khudan^Would buy you not the briefest kiss^What I bestow, I bestow for love^And the sake of my own happiness^But brought you a gift? Let us see! Let us see!^Or should tell my father how you came to see me?
dlga_minstrel_courtship_poem_teach_4:minstrel_learn_poem_continue|'I deflected her skeptical questioning darts...'
dlga_minstrel_courtship_poem_teach_4:minstrel_learn_poem_continue.1|'You are the first and the last..'
dlga_minstrel_courtship_poem_teach_4:minstrel_learn_poem_continue.2|'The wind that blows the dry steppe dust...'
dlga_minstrel_courtship_poem_teach_4:minstrel_learn_poem_continue.3|'A light pierced the gloom over Wercheg cliffs...'
dlga_minstrel_courtship_poem_teach_4:minstrel_learn_poem_continue.4|'All the silks of Veluca...'
dlga_minstrel_courtship_poem_teach_4:minstrel_courtship_poem_teach_reject|Pshaw... What kind of doggerel is that?
dlga_minstrel_courtship_poem_teach_reject:minstrel_pretalk|Very well. If the poem is not to your taste, then keep your money. But remember -- with poets and with lovers, what is important is not what pleases you. What is important is what your pleases your audience. If you wish to learn the poem, I am still willing to teach.
dlga_minstrel_learn_poem_continue:close_window|Very good -- but there are many stanzas to go. Now, listen closely...
dlga_minstrel_1:minstrel_gossip|Can you tell me anything about the eligible maidens in this realm?
dlga_minstrel_gossip:minstrel_gossip_select|About whom did you wish to know?
dlga_minstrel_gossip_select:minstrel_gossip_maiden_selected_2|Just tell me the latest piece of gossip
dlga_minstrel_gossip_select:minstrel_gossip_maiden_selected|{s10}
dlga_minstrel_gossip_select:minstrel_pretalk|Never mind
dlga_minstrel_gossip_maiden_selected:minstrel_gossip_maiden_selected_2|{s16}
dlga_minstrel_gossip_maiden_selected_2:minstrel_postgossip|She is married to you, of course! Clearly, no one would dream that she would do anything to engender gossip.
dlga_minstrel_gossip_maiden_selected_2:minstrel_postgossip.1|{s12}.
dlga_minstrel_gossip_maiden_selected_2:minstrel_postgossip.2|{s12}.
dlga_minstrel_postgossip:minstrel_pretalk|Very interesting -- but let us speak of something else.
dlga_minstrel_postgossip:minstrel_gossip|Very interesting -- is there any more news?
dlga_minstrel_postgossip:minstrel_duel_confirm|What? I'll make that miscreant face my sword
dlga_minstrel_duel_confirm:minstrel_duel_confirm_2|Do you mean that? {s11} will be honor-bound to fight you, but challenging a lord to duel over a woman is seen as a bit hot-headed, even in this warlike age.
dlga_minstrel_duel_confirm_2:minstrel_duel_issued|Yes -- I intend to force {s11} to relinquish his suit of {s12}
dlga_minstrel_duel_confirm_2:minstrel_pretalk|No -- I let my passions run away with me, there
dlga_minstrel_duel_issued:minstrel_pretalk|As you wish. I'll spead the word of your intentions, so that {s13} does not try to back out...
dlga_minstrel_1:minstrel_courtship_locations|Do you know of any ongoing feasts?
dlga_minstrel_courtship_locations:minstrel_pretalk|{s12}
dlga_minstrel_1:close_window|Good-bye.
dlga_minstrel_courtship_questions:minstrel_courtship_questions_2|What do you wish to know?
dlga_minstrel_courtship_prequestions:minstrel_courtship_questions_2|Can I answer any other questions for you?
dlga_minstrel_courtship_questions_2:minstrel_player_role|Is there a place for me in the game of love?
dlga_minstrel_courtship_questions_2:minstrel_player_advice_meet|How would a suitor meet a lady?
dlga_minstrel_courtship_questions_2:minstrel_player_advice_woo|Having met a lady, how would the suitor woo her?
dlga_minstrel_courtship_questions_2:minstrel_nobles|Tell me about marriage and love among the nobility of Calradia
dlga_minstrel_nobles:minstrel_nobles_2|Nobles are an odd lot. In Calradia, a daughter is a political asset, to be given away to a lord with whom her father wishes to make an alliance. Yet the great families of this land idealize pure love between man and woman, and I have seen many a hardened warrior weep copious tears at the doomed ardour of Sahira and Janun in the songs -- even as he made plans to break his own daughter's heart.
dlga_minstrel_nobles_2:minstrel_nobles_3|Fathers differ, of course. Some Calradian nobles will let their daughters choose a husband who pleases them. Others, however, feel that to allow their daughters any choice at all would be to diminish their own authority, and insist on imposing a groom whether she likes it or not.
dlga_minstrel_nobles_3:minstrel_prequestions|But the majority will steer a middle course -- they will want to make the final decision about a groom, but will weigh their daughter's preferences heavily. Among other factors, a happy marriage is more likely to produce heirs. So, there is a place for courtship, and for the use of skill and passion to win a lady's heart.
dlga_minstrel_courtship_questions_2:minstrel_daughter_father|What if a lady and her father disagree about a suitor?
dlga_minstrel_daughter_father:minstrel_daughter_father_2|It happens sometimes that a bride elopes. This is a major blow to the father's prestige, leading to lasting enmities. Indeed, it is possible that a war may be fought over a woman. Now, that is a fine topic for a song.
dlga_minstrel_daughter_father_2:minstrel_prequestions|In the end, however, most brides will submit to their parents' choice. A noblewoman's family is everything to her, and few are brave enough to risk its disapproval for the sake of man she barely knows. She may pine for her lover, but still accept the groom -- and without tragic love, what would we have to sing about?
dlga_minstrel_player_role:minstrel_player_role_2|Of course! Calradian lords make a great deal of lineage, but in the end, lands and money speak louder than one's ancestors. Even though you are a foreigner, if you are coming up in the world, then many parents will consider you a fine catch.
dlga_minstrel_player_role_2:minstrel_player_role_3|You will have to compete with many other lords of your realm, however, who will have an advantage -- they have known these ladies from childhood, and will have been sized up as grooms by carefully discerning mothers and aunts. Some ladies may be fascinated by the stranger, yet opt for the familiar.
dlga_minstrel_player_role_3:minstrel_prequestions|So know this -- you may have your heart broken. But to enter the arena of love fearing heartbreak is like entering the battlefield fearing the enemy's arrows. Be brave, and shrug off the sting of rejection, and victory may yet be yours.
dlga_minstrel_player_role:minstrel_female_player_3|Lady -- I will speak bluntly. Most of the lords of this land are looking for a demure maiden, whose skin as fair as snow -- and your skin is burnt brown by the sun. They want a maiden whose voice is soft as bells -- and your voice is hoarse from commanding men in battle. Also, athough the lords of Calradia appreciate poems about love, most also want heirs, and few women can ride and fight while with child.
dlga_minstrel_female_player_3:minstrel_prequestions|However, not all lords will be so conventionally minded. We poets sing of shield maidens and of huntresses, of women who forged their own path without having sacrificed the chance for love. I would not tell you that it would be easy for you to find a devoted husband who will accept your ways, but I would not say that it is impossible.
dlga_minstrel_courtship_questions_2:minstrel_spouse_benefits|What advantage is there in seeking a {wife/husband}?
dlga_minstrel_spouse_benefits:minstrel_wife_benefits_2|Ah! You are quite the romantic, I see! Well, aside from the obvious benefits of love, companionship and other, em, domestic matters, to marry among the nobility brings great assets. You may forge a strong alliance with the bride's family, and a wife may also assist you in manipulating the politics of the realm to your advantage.
dlga_minstrel_wife_benefits_2:minstrel_prequestions|What's more, most of the great families of Calradia have at some point intermarried with royalty, which would boost your own claim to rule -- should you ever choose to assert it...
dlga_minstrel_spouse_benefits:minstrel_wife_benefits_2.1|Ah! You are quite the romantic, I see! Well, aside from the obvious benefits of love, companionship and other, em, domestic matters, to marry among the nobility brings great assets. You may have access to the groom's castles and properties, and be able to work with him to advance both of your standings in the realm.
dlga_minstrel_player_advice_meet:minstrel_player_advice_meet_2|Every so often, a king or great lord of Calradia will hold a feast. In towns they will often be accompanied by tournaments, and in castles they will be accompanied by hunts. The feasts provide a chance for the lords to repair some of the rivalries that may undermine the strength of the realm. They also provide an opportunity for families to show off their eligible daughters, and ladies will often be allowed to mingle unsupervised with the guests.
dlga_minstrel_player_advice_meet_2:minstrel_prequestions|If you have the opportunity, you may attempt to pay the lady a compliment. This indicates to her that you are a potential suitor, and she will usually know if she wishes you to continue your suit. Incidentally, if you come to her fresh from having distinguished yourself in the tournament or in the hunt, then you may make a stronger first impression than otherwise.
dlga_minstrel_player_advice_woo:minstrel_player_advice_woo_2|To woo a lady takes a certain amount of time and patience, and several meetings spaced over a period of months. A lady who is interested in you will often find ways of letting you know if she wishes you to come visit her. Alternately, you may simply go and ask her father or brother for permission. If you do not have permission from her guardian, it may be possible to arrange an assignation through other means.
dlga_minstrel_player_advice_woo_2:minstrel_player_advice_woo_3|Having arranged an assignment, you may then attempt to charm her and win her favor. Perhaps one of the most difficult aspects of this is finding a topic of conversation. Most Calradian noblewomen lead a cloistered life, at least until they are married, and thus will have little to say that will interest you. On other hand, she will soon tire of hearing of your own deeds in the outside world.
dlga_minstrel_player_advice_woo_3:minstrel_player_advice_woo_4|One time-tested mode of courtship is simply to recite a popular poem, and discuss it. This way, you are both on an equal footing, and neither will have an advantage in knowledge or experience. Of course, different ladies will have different tastes in poetry.
dlga_minstrel_player_advice_woo_4:minstrel_player_advice_woo_5|At some point, you will be able to discuss directly the issue of marriage. She will then let you know if you measure up to what she wants in a husband. Some ladies will coolly assess who is the most prestigious of her suitors, others will be guided by their passions. Some will look to your companions, to see whether you are the kind of husband who will treat her as an equal, while others will follow the lead of their fathers.
dlga_minstrel_player_advice_woo_5:minstrel_prequestions|At any rate, it is a challenging business -- and do not forget, you may find that your suit prospers with a lady, only to have it falter on a father's political ambitions. So you must ask yourself: are you willing to risk disappointment and heartbreak? Alternately, are you willing to throw away your standing in society, to make enemies of allies, in pursuit of a forbidden love? Because if you are, then perhaps some day we will write poems about you.
dlga_minstrel_courtship_questions_2:minstrel_job_description|What is it that you poets and musicians do again?
dlga_minstrel_job_description:minstrel_courtship_prequestions|I compose and write songs for the lords of the land, and their ladies. Sometimes I sing about war, sometimes about the virtues of kings, and sometimes, for the more sophisticated audiences, about the virtues of wine. For most audiences, however, I sing of love.
dlga_minstrel_courtship_questions_2:minstrel_pretalk|No, that is all.
dlga_minstrel_prequestions:minstrel_courtship_questions_2|Do you have any other questions?
dlga_minstrel_pretalk:minstrel_1|Is there anything else?
dlga_start:farmer_from_bandit_village_1|{My lord/Madam}, you look like a {man/lady} of the sword and someone who could help us. Will you hear my plea?
dlga_farmer_from_bandit_village_1:farmer_from_bandit_village_2|What is the matter, my good man?
dlga_farmer_from_bandit_village_1:farmer_from_bandit_village_2.1|What are you burbling about peasant? Speak out.
dlga_farmer_from_bandit_village_2:farmer_from_bandit_village_3|A band of brigands have taken refuge in our village. They take everything we have, force us to serve them, and do us much evil. If one of us so much as breathes a word of protest, they kill the poor soul on the spot right away. Our lives have become unbearable. I risked my skin and ran away to find someone who can help us.
dlga_farmer_from_bandit_village_3:farmer_from_bandit_village_4|Why don't you go to the lord of your village? He should take care of the vermin.
dlga_farmer_from_bandit_village_4:farmer_from_bandit_village_5|I did, {sir/madam}, but our lord's men did not let me see him and said he was occupied with more important matters and that we should deal with our own problem ourselves. Please {sir/madam}, you look like a {man/lady} of valor and a fearsome warrior, and you have no doubt many friends and soldiers at your service. If there is anyone who can help us, it's you.
dlga_farmer_from_bandit_village_5:farmer_from_bandit_village_accepted|Very well, I'll help you. Where is this village?
dlga_farmer_from_bandit_village_5:farmer_from_bandit_village_denied|I can't be bothered with this right now.
dlga_farmer_from_bandit_village_5:farmer_from_bandit_village_barter|Why would I fight these bandits? What's in it for me?
dlga_farmer_from_bandit_village_accepted:close_window|God bless you, {sir/madam}. Our village is {s7}. It is not too far from here.
dlga_farmer_from_bandit_village_denied:close_window|As you say {sir/madam}. Forgive me for bothering you.
dlga_farmer_from_bandit_village_barter:farmer_from_bandit_village_5|We are but poor farmers {sir/madam}, and the bandits have already got most of what we have on this world. but we'll be glad to share with you whatever we have got. And we'll always be in your gratitude if you help us.
dlga_start:close_window.96|Thank you for helping us {sir/madam}. Crush those bandits!
dlga_start:mercenary_tavern_talk|Do you have a need for mercenaries, {sir/madam}? {reg3?Me and {reg4?{reg3} of my mates:one of my mates} are:I am} looking for a master. We'll join you for {reg5} denars.
dlga_start:mercenary_after_recruited|Any orders, {sir/madam}?
dlga_mercenary_after_recruited:mercenary_after_recruited_2|Make your preparations. We'll be moving at dawn.
dlga_mercenary_after_recruited:mercenary_after_recruited_2.1|Take your time. We'll be staying in this town for a while.
dlga_mercenary_after_recruited_2:close_window|Yes {sir/madam}. We'll be ready when you tell us to leave.
dlga_mercenary_tavern_talk:mercenary_tavern_talk_hire|All right. I will hire all of you. Here is {reg5} denars.
dlga_mercenary_tavern_talk:mercenary_tavern_talk_hire.1|All right. But I can only hire {reg6} of you. Here is {reg5} denars.
dlga_mercenary_tavern_talk_hire:close_window|{s17}
dlga_mercenary_tavern_talk:tavern_mercenary_cant_lead|That sounds good. But I can't afford to hire any more men right now.
dlga_tavern_mercenary_cant_lead:close_window|That's a pity. Well, {reg3?we will:I will} be lingering around here for a while, if you need to hire anyone.
dlga_mercenary_tavern_talk:tavern_mercenary_cant_lead.1|That sounds good. But I can't lead any more men right now.
dlga_mercenary_tavern_talk:close_window|Sorry. I don't need any other men right now.
dlga_start:trainer_intro_1|Good day to you {lad/lass}. You look like another adventurer who has come to try {his/her} chance in these lands. Well, trust my word, you won't be able to survive long here unless you know how to fight yourself out of a tight spot.
dlga_trainer_intro_1:trainer_intro_2|Thank you for your advice. This place looks like a training field. Maybe I can learn about fighting here?
dlga_trainer_intro_2:trainer_intro_3|Indeed you can. I am a veteran soldier... fought a good deal in the wars in my time. But these days, I train young novices in this area. I can find you some opponents to practice with if you like. Or if you have any questions about the theory of combat, feel free to ask.
dlga_trainer_intro_3:trainer_intro_4a|Yes, I do have a few questions.
dlga_trainer_intro_3:trainer_intro_4b|Actually, I can move on to practice.
dlga_trainer_intro_4a:trainer_talk_combat|Well, ask anything you like.
dlga_trainer_intro_4b:trainer_practice_1|Good. It's good to find someone eager for practice. Let's see what you will do.
dlga_start:trainer_practice_1|That was a good fight. 
dlga_start:trainer_practice_1.1|Ha! Looks like you've developed a bit of a limp there. Don't worry, even losses have their value, provided you learn from them. Shake the stars out of your eyes and get back in there. There's no other way to win.
dlga_start:trainer_talk|Good day. Ready for some training today?
dlga_trainer_pretalk:trainer_talk|Ah, are you ready for some training?
dlga_trainer_talk:trainer_practice_1|I am ready for some practice.
dlga_trainer_talk:trainer_combat_begin|First, tell me something about combat...
dlga_trainer_talk:close_window|I need to leave now. Farewell.
dlga_trainer_combat_begin:trainer_talk_combat|What do you want to know?
dlga_trainer_combat_pretalk:trainer_talk_combat|What else do you want to know?
dlga_trainer_talk_combat:trainer_explain_defense|Tell me about defending myself.
dlga_trainer_talk_combat:trainer_explain_attack|Tell me about attacking with weapons.
dlga_trainer_talk_combat:trainer_explain_horseback|Tell me about fighting on horseback.
dlga_trainer_talk_combat:trainer_pretalk|I guess I know all the theory I need. Let's talk about something else.
dlga_trainer_explain_defense:trainer_explain_defense_2|Good question. The first thing you should know as a fighter is how to defend yourself. Keeping yourself out of harm's way is the first rule of combat, and it is much more important than giving harm to others. Everybody can swing a sword around and hope to cut some flesh, but only those fighters that are experts at defense live to tell of it.
dlga_trainer_explain_defense_2:trainer_explain_defense_3|Now. Defending yourself is easiest if you are equipped with a shield. Just block with your shield. [Hold down the right mouse button to defend yourself with the shield.] In this state, you will be able to deflect all attacks that come from your front. However, you will still be open to strikes from your sides or your back.
dlga_trainer_explain_defense_3:trainer_explain_defense_4|What if I don't have a shield?
dlga_trainer_explain_defense_4:trainer_combat_pretalk|Then you will have to use your weapon to block your opponent. This is a bit more difficult than defending with a shield. Defending with a weapon, you can block against only ONE attack direction. That is, you block against either overhead swings, side swings or thrusts. Therefore you must watch your opponent carefully and start to block AFTER he starts his attack. In this way you will be able to block against the direction of his current attack. If you start to block BEFORE he makes his move, he may just attack in another direction than the one you are blocking against and score a hit.
dlga_trainer_explain_attack:trainer_explain_attack_2|Good question. Attacking is the best defence, they say. A tactic many fighters find useful is taking an offensive stance and readying your weapon for attack, waiting for the right moment for swinging it. [You can ready your weapon for attack by pressing and holding down the left mouse button.]
dlga_trainer_explain_attack_2:trainer_explain_attack_3|That sounds useful.
dlga_trainer_explain_attack_3:trainer_explain_attack_4|It is a good tactic, but remember that, your opponent may see that and take a defensive stance against the direction you are swinging your weapon. If that happens, you must break your attack and quickly attack from another direction [You may cancel your current attack by quickly tapping the right mouse button].
dlga_trainer_explain_attack_4:trainer_explain_attack_5|If my opponent is defending against the direction I am attacking from, I will break and use another direction.
dlga_trainer_explain_attack_5:trainer_combat_pretalk|Yes, selecting the direction you swing your weapon is a crucial skill. There are four main directions you may use: right swing, left swing, overhead swing and thrust. You must use each one wisely. [to control your swing direction with default controls, move your mouse in the direction you want to swing from as you press the left mouse button].
dlga_trainer_explain_horseback:trainer_combat_pretalk|Very good question. A horse may be a warrior's most powerful weapon in combat. It gives you speed, height, power and initiative. A lot of deadly weapons will become even deadlier on horseback. However you must pay particular attention to horse-mounted enemies couching their lances, as they may take down any opponent in one hit. [To use the couched lance yourself, wield a lance or similar weapon, and speed up your horse without pressing attack or defense buttons. after you reach a speed, you'll lower your lance. Then try to target your enemies by maneuvering your horse.]
dlga_trainer_practice_1:trainer_practice_1|I train novices in four stages, each tougher than the one before. To finish a stage and advance to the next one, you have to win three fights in a row.
dlga_trainer_practice_1:novicemaster_are_you_ready|You have passed all stages of training. But if you want you can still practice. Are you ready?
dlga_trainer_practice_1:trainer_practice_1.1|Way to go {lad/lass}. With this victory, you have advanced to the next training level. From now on your opponents will be regular fighters, not the riff-raff off the street, so be on your toes.
dlga_trainer_practice_1:trainer_practice_1.2|Way to go {lad/lass}. Welcome to the third training level. From now on your opponents will be veteran fighters; soldiers and arena regulars and the like. These guys know some dirty tricks, so keep your defense up.
dlga_trainer_practice_1:trainer_practice_1.3|You've got the heart of a champion, {lad/lass}, and the sword arm to match. From now on your opponents will be champion fighters. These are the cream of the crop, the finest warriors I have trained. If you can best three of them in a row, you will join their ranks.
dlga_trainer_practice_1:novicemaster_finish_training|It does my heart good to see such a promising talent. You have passed all tiers of training. You can now tell everyone that you have been trained by the master of the training field.
dlga_novicemaster_finish_training:novicemaster_finish_training_2|Thank you master.
dlga_novicemaster_finish_training_2:close_window|I wish you good luck in the tournaments. And, don't forget,  if you want to practice your swordwork anytime, just come and say the word.
dlga_trainer_practice_1:novicemaster_are_you_ready.1|Your next opponent will be a {s9}. You need to win {reg8} more fights in a row to advance to the next stage. Are you ready?
dlga_novicemaster_are_you_ready:novicemaster_ready_to_fight|Yes I am.
dlga_novicemaster_ready_to_fight:close_window|Here you go then. Good luck.
dlga_novicemaster_are_you_ready:novicemaster_not_ready|Just a minute. I am not ready yet.
dlga_novicemaster_not_ready:close_window|Hey, You will never make it if you don't practice.
dlga_start:close_window.97|Ruszaj się.
dlga_start_craftsman_soon:close_window|Good day, my {lord/lady}. We hope to begin production in about {reg4} days
dlga_start:master_craftsman_talk|Good day, my {lord/lady}. We are honored that you have chosen to visit us. What do you require?
dlga_master_craftsman_pretalk:master_craftsman_talk|Very good, my {lord/lady}. Do you require anything else?
dlga_master_craftsman_talk:master_craftsman_accounts|Let's go over the accounts.
dlga_master_craftsman_talk:master_craftsman_pretalk|Let's check the inventories.
dlga_master_craftsman_talk:master_craftsman_pretalk.1|I'd like you to sell goods as they are produced.
dlga_master_craftsman_talk:master_craftsman_pretalk.2|I'd like you to keep all goods in the warehouse until I arrive.
dlga_master_craftsman_accounts:master_craftsman_pretalk|We currently produce {s3} worth {reg1} denars each week, while the quantity of {s4} needed to manufacture it costs {reg2}, and labor and upkeep are {reg3}.{s9} This means that we theoretically make a {s12} of {reg0} denars a week, assuming that we have no raw materials in the inventories, and that we sell directly to the market.
dlga_master_craftsman_talk:master_craftsman_production_options|Could you explain my options related to production?
dlga_master_craftsman_production_options:master_craftsman_production_options_2|Certainly, my {lord/lady}. Most of the time, the most profitable thing for you to do would be to let us buy raw materials and sell the finished goods directly to the market. Because of our longstanding relations with the local merchants, we can usually get a very good price.
dlga_master_craftsman_production_options_2:master_craftsman_pretalk|However, if you find that you can acquire raw materials cheaper outside {s5}, you may place them in the inventories, and we will use them instead of buying from the market. Likewise, if you feel that you can get a better price for the finished goods elsewhere, then you may ask us to deposit what we produce in our warehouses for you to take.
dlga_master_craftsman_talk:master_craftsman_auction_price|It will no longer be possible for me to continue operating this enterprise.
dlga_master_craftsman_auction_price:master_craftsman_auction_decide|A pity, my {lord/lady}. If we sell the land and the equipment, and liquidate the inventories, I estimate that we can get {reg4} denars.
dlga_master_craftsman_auction_decide:master_craftsman_liquidation|That sounds reasonable. Please proceed with the sale.
dlga_master_craftsman_auction_decide:master_craftsman_pretalk|Hmm. Let's hold off on that.
dlga_master_craftsman_liquidation:close_window|As you wish. It was an honor to have been in your employ.
dlga_master_craftsman_talk:close_window.1|That is all for now.
dlga_start:burmistrz_start|Good day, my lord.
dlga_start:mayor_begin|Good day, my lord.
dlga_start:mayor_talk|Hello stranger, you seem to be new to {s9}. I am the guild master of the town.
dlga_start:mayor_begin.1|Good day, {playername}.
dlga_mayor_begin:lord_persuade_lords_to_make_peace_completed|{playername}, it was an incredible feat to get {s14} and {s15} make peace, and you made it happen. Your involvement has not only saved our town from disaster, but it has also saved thousands of lives, and put an end to all the grief this bitter war has caused. As the townspeople of {s19}, know that we'll be good on our word, and we are ready to pay the {reg12} denars we promised.
